sample_id	DNA_kit	kit_code	replicate	matrix_type	kit_source_label	qPCR_species_label	taxon	taxonomic_rank	qPCR_value	qPCR_total	qPCR_relative_abundance	expected_abundance	qPCR_bias	qPCR_relative_deviation_pct
3Z	Zymo	Z	3	mock_only	ZymoB Kit	T.interdigitale	Trichophyton_interdigitale	Species	0.000345267	0.023262805	0.014842019266378237	0.1	-0.08515798073362177	-85.15798073362177
3Z	Zymo	Z	3	mock_only	ZymoB Kit	A.fumigatus	Aspergillus_fumigatus	Species	0.003065	0.023262805	0.13175539235272787	0.1	0.03175539235272787	31.755392352727867
3Z	Zymo	Z	3	mock_only	ZymoB Kit	M.globosa	Malassezia_globosa	Species	0.000354974	0.023262805	0.015259294827085554	0.1	-0.08474070517291445	-84.74070517291445
4Z	Zymo	Z	4	mock_only	ZymoB Kit	C.albicans	Candida_albicans	Species	0.0034242	0.020551749	0.16661355683158643	0.1	0.06661355683158643	66.61355683158644
4Z	Zymo	Z	4	mock_only	ZymoB Kit	C.neoformans	Cryptococcus_neoformans	Species	0.005486	0.020551749	0.26693591868993727	0.1	0.16693591868993726	166.93591868993724
4Z	Zymo	Z	4	mock_only	ZymoB Kit	S.cerevisiae	Saccharomyces_cerevisiae	Species	0.0008155	0.020551749	0.039680321124980655	0.1	-0.06031967887501935	-60.31967887501934
4Z	Zymo	Z	4	mock_only	ZymoB Kit	N.glabratus	Nakaseomyces_glabratus	Species	0.002631316	0.020551749	0.12803367732838697	0.1	0.028033677328386963	28.033677328386965
4Z	Zymo	Z	4	mock_only	ZymoB Kit	C.dermatis	Cutaneotrichosporon_dermatis	Species	0.002307	0.020551749	0.11225321990843698	0.1	0.012253219908436974	12.253219908436975
4Z	Zymo	Z	4	mock_only	ZymoB Kit	P.chrysogenum	Penicillium_chrysogenum	Species	0.002455104	0.020551749	0.11945961387519864	0.1	0.019459613875198636	19.459613875198638
4Z	Zymo	Z	4	mock_only	ZymoB Kit	F.keratoplasticum	Fusarium_keratoplasticum	Species	0.000142179	0.020551749	0.0069180973356574174	0.1	-0.09308190266434259	-93.08190266434259
4Z	Zymo	Z	4	mock_only	ZymoB Kit	T.interdigitale	Trichophyton_interdigitale	Species	0.000249271	0.020551749	0.012128943380925877	0.1	-0.08787105661907413	-87.87105661907412
4Z	Zymo	Z	4	mock_only	ZymoB Kit	A.fumigatus	Aspergillus_fumigatus	Species	0.002899	0.020551749	0.14105855418923227	0.1	0.041058554189232266	41.05855418923227
4Z	Zymo	Z	4	mock_only	ZymoB Kit	M.globosa	Malassezia_globosa	Species	0.000142179	0.020551749	0.0069180973356574174	0.1	-0.09308190266434259	-93.08190266434259
