DNA_kit	taxon	n	mean_abundance	sd_abundance	se_abundance	expected_abundance	bias	relative_deviation_pct	measurement
DNeasy	Nakaseomyces_glabratus	4	0.1115195024592541	0.00328901047231471	0.001644505236157355	0.1	0.011519502459254094	11.519502459254094	NGS Cutadapt_PE
DNeasy	Malassezia_globosa	4	0	0	0	0.1	-0.1	-100	NGS Cutadapt_PE
DNeasy	Saccharomyces_cerevisiae	4	0.06236414060108279	0.0036562052738573028	0.0018281026369286514	0.1	-0.03763585939891721	-37.63585939891721	NGS Cutadapt_PE
DNeasy	Cutaneotrichosporon_dermatis	4	0.22455013616312158	0.012761772673991421	0.0063808863369957105	0.1	0.12455013616312158	124.55013616312156	NGS Cutadapt_PE
QIAamp	Aspergillus_fumigatus	4	0.03215371638416829	0.0015339503664700967	7.669751832350484e-4	0.1	-0.06784628361583171	-67.84628361583171	NGS Cutadapt_PE
QIAamp	Cryptococcus_neoformans	4	0.15689426521399663	0.0073248004005831875	0.0036624002002915938	0.1	0.056894265213996625	56.89426521399662	NGS Cutadapt_PE
QIAamp	Trichophyton_interdigitale	4	0.005923790653013338	8.599806924846107e-4	4.2999034624230533e-4	0.1	-0.09407620934698667	-94.07620934698666	NGS Cutadapt_PE
QIAamp	Penicillium_chrysogenum	4	0.12349654020522884	0.0028338495065194044	0.0014169247532597022	0.1	0.02349654020522883	23.49654020522883	NGS Cutadapt_PE
QIAamp	Fusarium_keratoplasticum	4	0.0021536573765255623	2.4861081191500454e-4	1.2430540595750227e-4	0.1	-0.09784634262347444	-97.84634262347444	NGS Cutadapt_PE
QIAamp	Candida_albicans	4	0.290619447166919	0.010536313943969694	0.005268156971984847	0.1	0.190619447166919	190.61944716691897	NGS Cutadapt_PE
QIAamp	Nakaseomyces_glabratus	4	0.11457324146371786	0.003937856024362096	0.001968928012181048	0.1	0.014573241463717856	14.573241463717856	NGS Cutadapt_PE
QIAamp	Malassezia_globosa	4	1.35127873026086e-5	1.6779582431172332e-5	8.389791215586166e-6	0.1	-0.0999864872126974	-99.9864872126974	NGS Cutadapt_PE
QIAamp	Saccharomyces_cerevisiae	4	0.04316793294490204	0.003192124764015469	0.0015960623820077346	0.1	-0.05683206705509797	-56.832067055097966	NGS Cutadapt_PE
QIAamp	Cutaneotrichosporon_dermatis	4	0.23100389580422587	0.013528505949705685	0.006764252974852843	0.1	0.13100389580422586	131.00389580422583	NGS Cutadapt_PE
Zymo	Aspergillus_fumigatus	4	0.02908440895203283	0.0035048552321572985	0.0017524276160786492	0.1	-0.07091559104796717	-70.91559104796717	NGS Cutadapt_PE
Zymo	Cryptococcus_neoformans	4	0.14548841866561155	0.007169704884422902	0.003584852442211451	0.1	0.04548841866561154	45.48841866561154	NGS Cutadapt_PE
Zymo	Trichophyton_interdigitale	4	0.00445660866800079	8.385156082730134e-4	4.192578041365067e-4	0.1	-0.09554339133199921	-95.5433913319992	NGS Cutadapt_PE
Zymo	Penicillium_chrysogenum	4	0.1264137014583076	0.008891648730431677	0.004445824365215839	0.1	0.026413701458307598	26.4137014583076	NGS Cutadapt_PE
Zymo	Fusarium_keratoplasticum	4	0.001784104860368834	3.160695362380708e-4	1.580347681190354e-4	0.1	-0.09821589513963117	-98.21589513963116	NGS Cutadapt_PE
Zymo	Candida_albicans	4	0.30359278931204725	0.010751818818319388	0.005375909409159694	0.1	0.20359278931204725	203.59278931204722	NGS Cutadapt_PE
Zymo	Nakaseomyces_glabratus	4	0.09731134268009772	0.005016700226137986	0.002508350113068993	0.1	-0.0026886573199022823	-2.6886573199022825	NGS Cutadapt_PE
Zymo	Malassezia_globosa	4	7.723004181209006e-5	4.763156660022964e-5	2.381578330011482e-5	0.1	-0.09992276995818791	-99.92276995818791	NGS Cutadapt_PE
Zymo	Saccharomyces_cerevisiae	4	0.052879523301984574	0.005168750764307632	0.002584375382153816	0.1	-0.04712047669801543	-47.12047669801543	NGS Cutadapt_PE
Zymo	Cutaneotrichosporon_dermatis	4	0.2389118720597368	0.0241269501639925	0.01206347508199625	0.1	0.1389118720597368	138.9118720597368	NGS Cutadapt_PE
DNeasy	Aspergillus_fumigatus	4	0.03184441208008747	0.002940259931751387	0.0014701299658756936	0.1	-0.06815558791991254	-68.15558791991253	NGS Cutadapt_SE
