Method	DNA_kit	taxon	NGS_mean	NGS_sd	NGS_bias	NGS_relative_deviation_pct	qPCR_mean	qPCR_sd	qPCR_bias	qPCR_relative_deviation_pct	mean_difference_NGS_minus_qPCR	absolute_mean_difference
ITSx_SE	QIAamp	Saccharomyces_cerevisiae	0.04300621207110848	0.00299317482120416	-0.05699378792889152	-56.993787928891514	0.028303129539003748	0.011499280332202842	-0.07169687046099626	-71.69687046099627	0.014703082532104735	0.014703082532104735
ITSx_SE	QIAamp	Cutaneotrichosporon_dermatis	0.22245313038172465	0.012704066215834016	0.12245313038172465	122.45313038172463	0.06757363575884463	0.03501722083393325	-0.03242636424115537	-32.42636424115537	0.15487949462288003	0.15487949462288003
ITSx_SE	Zymo	Aspergillus_fumigatus	0.030514503841804555	0.003439683118120263	-0.06948549615819545	-69.48549615819545	0.1395183832739813	0.005603149441530646	0.0395183832739813	39.5183832739813	-0.10900387943217675	0.10900387943217675
ITSx_SE	Zymo	Cryptococcus_neoformans	0.14599531383430656	0.006395975923133476	0.04599531383430655	45.99531383430655	0.2565487117310369	0.01621195896936413	0.15654871173103688	156.54871173103686	-0.11055339789673033	0.11055339789673033
ITSx_SE	Zymo	Trichophyton_interdigitale	0.004202216625402073	8.343504074128078e-4	-0.09579778337459793	-95.79778337459793	0.012875284239772525	0.0021352565282213554	-0.08712471576022748	-87.12471576022747	-0.008673067614370453	0.008673067614370453
ITSx_SE	Zymo	Penicillium_chrysogenum	0.13681375254915307	0.008556821424345712	0.03681375254915306	36.81375254915306	0.13534603605129017	0.030655390523029027	0.035346036051290164	35.34603605129016	0.0014677164978628976	0.0014677164978628976
ITSx_SE	Zymo	Fusarium_keratoplasticum	0.0017574225553117365	2.461417271096789e-4	-0.09824257744468827	-98.24257744468827	0.009345645594837419	0.00396033540511165	-0.09065435440516259	-90.65435440516258	-0.007588223039525682	0.007588223039525682
ITSx_SE	Zymo	Candida_albicans	0.30068875676389956	0.010036823274844092	0.20068875676389955	200.68875676389953	0.16714457848631792	0.030171873548877803	0.06714457848631791	67.14457848631791	0.13354417827758164	0.13354417827758164
ITSx_SE	Zymo	Nakaseomyces_glabratus	0.09848612671812956	0.005198305750829287	-0.0015138732818704426	-1.5138732818704426	0.11653670306763492	0.02730963167952455	0.01653670306763491	16.53670306763491	-0.018050576349505354	0.018050576349505354
ITSx_SE	Zymo	Malassezia_globosa	6.38423840713818e-5	3.866144497327792e-5	-0.09993615761592863	-99.93615761592862	0.009345645594837419	0.00396033540511165	-0.09065435440516259	-90.65435440516258	-0.009281803210766036	0.009281803210766036
ITSx_SE	Zymo	Saccharomyces_cerevisiae	0.05251321664618106	0.0051812520512818545	-0.047486783353818944	-47.48678335381894	0.04495706576028813	0.006944080621693184	-0.05504293423971188	-55.04293423971187	0.007556150885892933	0.007556150885892933
ITSx_SE	Zymo	Cutaneotrichosporon_dermatis	0.22896484808174045	0.022042114821771885	0.12896484808174044	128.96484808174043	0.10838194620000324	0.02495903601579078	0.008381946200003237	8.381946200003238	0.1205829018817372	0.1205829018817372
Cutadapt_PE	DNeasy	Aspergillus_fumigatus	0.030805813782486376	0.0028674139249556868	-0.06919418621751364	-69.19418621751363	0.09550867349707479	0.00770532095700339	-0.004491326502925219	-4.491326502925219	-0.06470285971458842	0.06470285971458842
Cutadapt_PE	DNeasy	Cryptococcus_neoformans	0.14501602201547967	0.003920393745267226	0.04501602201547966	45.01602201547966	0.3241001327460241	0.016998246748797487	0.2241001327460241	224.1001327460241	-0.17908411073054445	0.17908411073054445
Cutadapt_PE	DNeasy	Trichophyton_interdigitale	0.004908771036089563	6.648745498366647e-4	-0.09509122896391044	-95.09122896391044	0.00614977349867599	9.746523990519053e-4	-0.09385022650132402	-93.85022650132402	-0.0012410024625864272	0.0012410024625864272
Cutadapt_PE	DNeasy	Penicillium_chrysogenum	0.11855637920761528	0.01228748926071416	0.01855637920761527	18.55637920761527	0.07206717119550163	0.013681361658341816	-0.027932828804498377	-27.932828804498378	0.04648920801211365	0.04648920801211365
Cutadapt_PE	DNeasy	Fusarium_keratoplasticum	0.0020016876545659625	3.360711713759158e-4	-0.09799831234543405	-97.99831234543404	8.381682832291374e-4	1.3309425085592525e-4	-0.09916183171677087	-99.16183171677086	0.001163519371336825	0.001163519371336825
Cutadapt_PE	DNeasy	Candida_albicans	0.3002775470803047	0.008032119262035535	0.20027754708030468	200.27754708030466	0.36542770883619624	0.02244045958098073	0.26542770883619626	265.42770883619625	-0.06515016175589156	0.06515016175589156
