Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
ST4Q_1	(18.0, 1.0)	(19.0, 2.0)	(20.0, 13.0)	(21.0, 14.0)	(22.0, 17.0)	(23.0, 30.0)	(24.0, 33.0)	(25.0, 68.0)	(26.0, 79.0)	(27.0, 98.0)	(28.0, 119.0)	(29.0, 152.0)	(30.0, 152.0)	(31.0, 231.0)	(32.0, 316.0)	(33.0, 488.0)	(34.0, 693.0)	(35.0, 1329.0)	(36.0, 6178.0)	(37.0, 47415.0)	(38.0, 103327.0)			
ST4Q_2	(16.0, 2.0)	(17.0, 8.0)	(18.0, 29.0)	(19.0, 107.0)	(20.0, 136.0)	(21.0, 141.0)	(22.0, 122.0)	(23.0, 114.0)	(24.0, 116.0)	(25.0, 131.0)	(26.0, 117.0)	(27.0, 139.0)	(28.0, 158.0)	(29.0, 190.0)	(30.0, 247.0)	(31.0, 266.0)	(32.0, 342.0)	(33.0, 507.0)	(34.0, 702.0)	(35.0, 1238.0)	(36.0, 2858.0)	(37.0, 57216.0)	(38.0, 95869.0)	
ST4Z_1	(17.0, 1.0)	(18.0, 1.0)	(19.0, 4.0)	(20.0, 19.0)	(21.0, 18.0)	(22.0, 19.0)	(23.0, 24.0)	(24.0, 30.0)	(25.0, 86.0)	(26.0, 80.0)	(27.0, 97.0)	(28.0, 103.0)	(29.0, 130.0)	(30.0, 183.0)	(31.0, 164.0)	(32.0, 297.0)	(33.0, 407.0)	(34.0, 610.0)	(35.0, 1263.0)	(36.0, 4009.0)	(37.0, 48210.0)	(38.0, 111928.0)		
ST4Z_2	(17.0, 4.0)	(18.0, 35.0)	(19.0, 113.0)	(20.0, 134.0)	(21.0, 130.0)	(22.0, 104.0)	(23.0, 109.0)	(24.0, 103.0)	(25.0, 102.0)	(26.0, 121.0)	(27.0, 123.0)	(28.0, 129.0)	(29.0, 139.0)	(30.0, 186.0)	(31.0, 230.0)	(32.0, 268.0)	(33.0, 383.0)	(34.0, 560.0)	(35.0, 1000.0)	(36.0, 2457.0)	(37.0, 54414.0)	(38.0, 106839.0)		
STD_1	(17.0, 2.0)	(18.0, 2.0)	(19.0, 11.0)	(20.0, 26.0)	(21.0, 24.0)	(22.0, 22.0)	(23.0, 22.0)	(24.0, 38.0)	(25.0, 42.0)	(26.0, 56.0)	(27.0, 70.0)	(28.0, 101.0)	(29.0, 96.0)	(30.0, 134.0)	(31.0, 178.0)	(32.0, 234.0)	(33.0, 351.0)	(34.0, 605.0)	(35.0, 1287.0)	(36.0, 3227.0)	(37.0, 61900.0)	(38.0, 70661.0)		
STD_2	(17.0, 6.0)	(18.0, 26.0)	(19.0, 92.0)	(20.0, 103.0)	(21.0, 93.0)	(22.0, 91.0)	(23.0, 86.0)	(24.0, 84.0)	(25.0, 83.0)	(26.0, 106.0)	(27.0, 118.0)	(28.0, 104.0)	(29.0, 147.0)	(30.0, 152.0)	(31.0, 181.0)	(32.0, 312.0)	(33.0, 407.0)	(34.0, 579.0)	(35.0, 1101.0)	(36.0, 2722.0)	(37.0, 46315.0)	(38.0, 86181.0)		
STQ_1	(18.0, 3.0)	(19.0, 6.0)	(20.0, 11.0)	(21.0, 19.0)	(22.0, 34.0)	(23.0, 25.0)	(24.0, 32.0)	(25.0, 45.0)	(26.0, 56.0)	(27.0, 80.0)	(28.0, 73.0)	(29.0, 112.0)	(30.0, 157.0)	(31.0, 181.0)	(32.0, 237.0)	(33.0, 321.0)	(34.0, 478.0)	(35.0, 1016.0)	(36.0, 2845.0)	(37.0, 55018.0)	(38.0, 85856.0)			
STQ_2	(16.0, 1.0)	(17.0, 5.0)	(18.0, 15.0)	(19.0, 65.0)	(20.0, 109.0)	(21.0, 102.0)	(22.0, 83.0)	(23.0, 108.0)	(24.0, 137.0)	(25.0, 101.0)	(26.0, 88.0)	(27.0, 109.0)	(28.0, 130.0)	(29.0, 133.0)	(30.0, 182.0)	(31.0, 186.0)	(32.0, 262.0)	(33.0, 399.0)	(34.0, 593.0)	(35.0, 1070.0)	(36.0, 2663.0)	(37.0, 58612.0)	(38.0, 81452.0)	
STZ_1	(18.0, 2.0)	(19.0, 10.0)	(20.0, 16.0)	(21.0, 15.0)	(22.0, 16.0)	(23.0, 26.0)	(24.0, 42.0)	(25.0, 44.0)	(26.0, 58.0)	(27.0, 70.0)	(28.0, 119.0)	(29.0, 112.0)	(30.0, 115.0)	(31.0, 135.0)	(32.0, 252.0)	(33.0, 350.0)	(34.0, 546.0)	(35.0, 1626.0)	(36.0, 2285.0)	(37.0, 43393.0)	(38.0, 62363.0)			
STZ_2	(17.0, 5.0)	(18.0, 20.0)	(19.0, 63.0)	(20.0, 97.0)	(21.0, 100.0)	(22.0, 106.0)	(23.0, 100.0)	(24.0, 105.0)	(25.0, 93.0)	(26.0, 90.0)	(27.0, 96.0)	(28.0, 96.0)	(29.0, 130.0)	(30.0, 158.0)	(31.0, 187.0)	(32.0, 297.0)	(33.0, 407.0)	(34.0, 525.0)	(35.0, 907.0)	(36.0, 2116.0)	(37.0, 45877.0)	(38.0, 60020.0)		
