DNA_kit	Paired	taxonomic_rank	taxon	detected_by_cutadapt	detected_by_itsxpress	taxon_method_set
QIAamp	SE	Species	Aspergillus_cibarius	TRUE	FALSE	Cutadapt only
QIAamp	SE	Species	Aspergillus_ruber	FALSE	TRUE	ITSxpress only
QIAamp	SE	Species	Aureobasidium_pullulans	TRUE	TRUE	Shared
QIAamp	SE	Species	Biscogniauxia_atropunctata	TRUE	TRUE	Shared
QIAamp	SE	Species	Bjerkandera_adusta	TRUE	TRUE	Shared
QIAamp	SE	Species	Boeremia_lycopersici	TRUE	FALSE	Cutadapt only
QIAamp	SE	Species	Candida_dubliniensis	TRUE	TRUE	Shared
QIAamp	SE	Species	Candolleomyces_g	TRUE	TRUE	Shared
QIAamp	SE	Species	Candolleomyces_subminutisporus	TRUE	TRUE	Shared
QIAamp	SE	Species	Ceriporia_nanlingensis	TRUE	TRUE	Shared
QIAamp	SE	Species	Cladosporium_angustisporum	TRUE	TRUE	Shared
QIAamp	SE	Species	Cladosporium_colocasiae	TRUE	TRUE	Shared
QIAamp	SE	Species	Cladosporium_herbarum	TRUE	FALSE	Cutadapt only
QIAamp	SE	Species	Crepidotus_g	TRUE	TRUE	Shared
QIAamp	SE	Species	Cystobasidium_slooffiae	TRUE	TRUE	Shared
QIAamp	SE	Species	Daedaleopsis_confragosa	TRUE	TRUE	Shared
QIAamp	SE	Species	Debaryomyces_delbrueckii	TRUE	TRUE	Shared
QIAamp	SE	Species	Epicoccum_pimprinum	FALSE	TRUE	ITSxpress only
QIAamp	SE	Species	Fungi_k	TRUE	TRUE	Shared
QIAamp	SE	Species	Fuscoporia_karsteniana	TRUE	TRUE	Shared
QIAamp	SE	Species	Helotiales_o	TRUE	TRUE	Shared
QIAamp	SE	Species	Hydnaceae_f	TRUE	TRUE	Shared
QIAamp	SE	Species	Irpex_hacksungii	TRUE	TRUE	Shared
QIAamp	SE	Species	Irpex_laceratus	TRUE	TRUE	Shared
QIAamp	SE	Species	Kazachstania_servazzii	TRUE	TRUE	Shared
QIAamp	SE	Species	Lecanorales_o	TRUE	FALSE	Cutadapt only
QIAamp	SE	Species	Malassezia_sympodialis	TRUE	TRUE	Shared
QIAamp	SE	Species	Metschnikowia_g	TRUE	FALSE	Cutadapt only
QIAamp	SE	Species	Mucor_circinelloides	TRUE	TRUE	Shared
QIAamp	SE	Species	Mucor_nidicola	TRUE	TRUE	Shared
QIAamp	SE	Species	Neodidymella_thailandicum	TRUE	TRUE	Shared
QIAamp	SE	Species	Ophiognomonia_asiatica	TRUE	FALSE	Cutadapt only
QIAamp	SE	Species	Ophiognomonia_pseudoischnostyla	FALSE	TRUE	ITSxpress only
QIAamp	SE	Species	Paragibellulopsis_chrysanthemi	TRUE	TRUE	Shared
QIAamp	SE	Species	Penicillium_citrinum	TRUE	TRUE	Shared
QIAamp	SE	Species	Penicillium_patris-mei	TRUE	TRUE	Shared
QIAamp	SE	Species	Penicillium_sumatraense	TRUE	TRUE	Shared
QIAamp	SE	Species	Peniophoraceae_f	TRUE	TRUE	Shared
QIAamp	SE	Species	Polyporales_o	TRUE	TRUE	Shared
QIAamp	SE	Species	Rhizoplaca_novomexicana	TRUE	FALSE	Cutadapt only
QIAamp	SE	Species	Rhodotorula_mucilaginosa	TRUE	TRUE	Shared
QIAamp	SE	Species	Schizophyllum_commune	TRUE	TRUE	Shared
QIAamp	SE	Species	Sporobolomyces_phaffii	TRUE	TRUE	Shared
QIAamp	SE	Species	Steccherinum_tenuissimum	TRUE	TRUE	Shared
QIAamp	SE	Species	Stereaceae_f	TRUE	TRUE	Shared
QIAamp	SE	Species	Talaromyces_adpressus	TRUE	FALSE	Cutadapt only
QIAamp	SE	Species	Talaromyces_g	FALSE	TRUE	ITSxpress only
